Checker Name,California DeLorme Challenge (Southern and Central),,,
Link,https://coord.info/GC18M1N,,,
State Requirement,California,,,
County Requirement,none,,,
North,South,East,West,Value Ref
37.000000,36.500000,-121.812500,-122.250000,Page 18
37.000000,36.500000,-121.375000,-121.812500,Page 19
37.000000,36.500000,-120.937500,-121.375000,Page 20
37.000000,36.500000,-120.500000,-120.937500,Page 21
37.000000,36.500000,-120.062500,-120.500000,Page 22
37.000000,36.500000,-119.625000,-120.062500,Page 23
37.000000,36.500000,-119.187500,-119.625000,Page 24
37.000000,36.500000,-118.750000,-119.187500,Page 25
37.000000,36.500000,-118.312500,-118.750000,Page 26
37.000000,36.500000,-117.875000,-118.312500,Page 27
37.000000,36.500000,-117.437500,-117.875000,Page 28
37.000000,36.500000,-117.000000,-117.437500,Page 29
36.500000,36.111110,-121.812500,-122.246110,Page 30
36.935280,36.500000,-116.562500,-117.000000,Page 30
36.500000,36.000000,-121.375000,-121.812500,Page 31
36.500000,36.000000,-120.937500,-121.375000,Page 32
36.500000,36.000000,-120.500000,-120.937500,Page 33
36.500000,36.000000,-120.062500,-120.500000,Page 34
36.500000,36.000000,-119.625000,-120.062500,Page 35
36.500000,36.000000,-119.187500,-119.625000,Page 36
36.500000,36.000000,-118.750000,-119.187500,Page 37
36.500000,36.000000,-118.312500,-118.750000,Page 38
36.500000,36.000000,-117.875000,-118.312500,Page 39
36.500000,36.000000,-117.437500,-117.875000,Page 40
36.500000,36.000000,-117.000000,-117.437500,Page 41
36.500000,36.000000,-116.562500,-117.000000,Page 42
36.500000,36.000000,-116.125000,-116.562500,Page 43
36.000000,35.753330,-121.375000,-121.684720,Page 43
36.000000,35.500000,-120.937500,-121.375000,Page 44
36.206670,36.000000,-115.857500,-116.125000,Page 44
36.000000,35.500000,-120.500000,-120.937500,Page 45
36.000000,35.500000,-120.062500,-120.500000,Page 46
36.000000,35.500000,-119.625000,-120.062500,Page 47
36.000000,35.500000,-119.187500,-119.625000,Page 48
36.000000,35.500000,-118.750000,-119.187500,Page 49
36.000000,35.500000,-118.312500,-118.750000,Page 50
36.000000,35.500000,-117.875000,-118.312500,Page 51
36.000000,35.500000,-117.437500,-117.875000,Page 52
36.000000,35.500000,-117.000000,-117.437500,Page 53
36.000000,35.500000,-116.125000,-116.562500,Page 55
36.000000,35.500000,-115.687500,-116.125000,Page 56
36.000000,35.500000,-115.250000,-115.687500,Page 57
35.500000,35.000000,-120.500000,-120.937500,Page 59
35.500000,35.000000,-120.062500,-120.500000,Page 60
35.500000,35.000000,-119.625000,-120.062500,Page 61
35.500000,35.000000,-119.187500,-119.625000,Page 62
35.500000,35.000000,-118.750000,-119.187500,Page 63
35.500000,35.000000,-118.312500,-118.750000,Page 64
35.500000,35.000000,-117.875000,-118.312500,Page 65
35.500000,35.000000,-117.437500,-117.875000,Page 66
35.500000,35.000000,-117.000000,-117.437500,Page 67
35.500000,35.000000,-116.562500,-117.000000,Page 68
35.500000,35.000000,-116.125000,-116.562500,Page 69
35.500000,35.000000,-115.687500,-116.125000,Page 70
35.500000,35.000000,-115.250000,-115.687500,Page 71
35.500000,35.000000,-114.812500,-115.250000,Page 72
35.000000,34.500000,-120.500000,-120.937500,Page 73
35.500000,35.000000,-114.559170,-114.812500,Page 73
35.000000,34.500000,-120.062500,-120.500000,Page 74
35.000000,34.500000,-119.625000,-120.062500,Page 75
35.000000,34.500000,-119.187500,-119.625000,Page 76
35.000000,34.500000,-118.750000,-119.187500,Page 77
35.000000,34.500000,-118.312500,-118.750000,Page 78
35.000000,34.500000,-117.875000,-118.312500,Page 79
35.000000,34.500000,-117.437500,-117.875000,Page 80
35.000000,34.500000,-117.000000,-117.437500,Page 81
35.000000,34.500000,-116.562500,-117.000000,Page 82
35.000000,34.500000,-116.125000,-116.562500,Page 83
35.000000,34.500000,-115.687500,-116.125000,Page 84
35.000000,34.500000,-115.250000,-115.687500,Page 85
35.000000,34.500000,-114.812500,-115.250000,Page 86
35.000000,34.500000,-114.375000,-114.812500,Page 87
34.500000,34.345000,-120.062500,-120.500000,Page 88
34.500000,34.345000,-119.625000,-120.062500,Page 89
34.500000,34.100000,-119.187500,-119.625000,Page 90
34.500000,34.000000,-118.750000,-119.187500,Page 91
34.500000,34.000000,-118.312500,-118.750000,Page 92
34.500000,34.000000,-117.875000,-118.312500,Page 93
34.500000,34.000000,-117.437500,-117.875000,Page 94
34.500000,34.000000,-117.000000,-117.437500,Page 95
34.500000,34.000000,-116.562500,-117.000000,Page 96
34.500000,34.000000,-116.125000,-116.562500,Page 97
34.500000,34.000000,-115.687500,-116.125000,Page 98
34.500000,34.000000,-115.250000,-115.687500,Page 99
34.500000,34.000000,-114.812500,-115.250000,Page 100
34.500000,34.000000,-114.375000,-114.812500,Page 101
