==============  Decimal Degrees  =============                 =========== Degrees, Decimal Minutes  ==========
 North      South        East         West        Page Ref       North       South        East         West    
=========  =========  ===========  ===========  =============  ==========  ==========  ===========  ===========
42.009722  41.500000  -123.937500  -124.375000     Page 22     N42 00.583  N41 30.000  W123 56.250  W124 22.500
42.009722  41.500000  -123.500000  -123.937500     Page 23     N42 00.583  N41 30.000  W123 30.000  W123 56.250
42.009722  41.500000  -123.062500  -123.500000     Page 24     N42 00.583  N41 30.000  W123 03.750  W123 30.000
42.009722  41.500000  -122.625000  -123.062500     Page 25     N42 00.583  N41 30.000  W122 37.500  W123 03.750
42.009722  41.500000  -122.187500  -122.625000     Page 26     N42 00.583  N41 30.000  W122 11.250  W122 37.500
42.009722  41.500000  -121.750000  -122.187500     Page 27     N42 00.583  N41 30.000  W121 45.000  W122 11.250
42.009722  41.500000  -121.312500  -121.750000     Page 28     N42 00.583  N41 30.000  W121 18.750  W121 45.000
42.009722  41.500000  -120.875000  -121.312500     Page 29     N42 00.583  N41 30.000  W120 52.500  W121 18.750
42.009722  41.500000  -120.437500  -120.875000     Page 30     N42 00.583  N41 30.000  W120 26.250  W120 52.500
42.009722  41.500000  -119.998056  -120.437500     Page 31     N42 00.583  N41 30.000  W119 59.883  W120 26.250
41.500000  41.000000  -123.937500  -124.375000     Page 32     N41 30.000  N41 00.000  W123 56.250  W124 22.500
41.500000  41.000000  -123.500000  -123.937500     Page 33     N41 30.000  N41 00.000  W123 30.000  W123 56.250
41.500000  41.000000  -123.062500  -123.500000     Page 34     N41 30.000  N41 00.000  W123 03.750  W123 30.000
41.500000  41.000000  -122.625000  -123.062500     Page 35     N41 30.000  N41 00.000  W122 37.500  W123 03.750
41.500000  41.000000  -122.187500  -122.625000     Page 36     N41 30.000  N41 00.000  W122 11.250  W122 37.500
41.500000  41.000000  -121.750000  -122.187500     Page 37     N41 30.000  N41 00.000  W121 45.000  W122 11.250
41.500000  41.000000  -121.312500  -121.750000     Page 38     N41 30.000  N41 00.000  W121 18.750  W121 45.000
41.500000  41.000000  -120.875000  -121.312500     Page 39     N41 30.000  N41 00.000  W120 52.500  W121 18.750
41.500000  41.000000  -120.437500  -120.875000     Page 40     N41 30.000  N41 00.000  W120 26.250  W120 52.500
41.500000  41.000000  -119.998056  -120.437500     Page 41     N41 30.000  N41 00.000  W119 59.883  W120 26.250
41.000000  40.500000  -123.945833  -124.391667     Page 42     N41 00.000  N40 30.000  W123 56.750  W124 23.500
41.000000  40.500000  -123.500000  -123.945833     Page 43     N41 00.000  N40 30.000  W123 30.000  W123 56.750
41.000000  40.500000  -123.062500  -123.500000     Page 44     N41 00.000  N40 30.000  W123 03.750  W123 30.000
41.000000  40.500000  -122.625000  -123.062500     Page 45     N41 00.000  N40 30.000  W122 37.500  W123 03.750
41.000000  40.500000  -122.187500  -122.625000     Page 46     N41 00.000  N40 30.000  W122 11.250  W122 37.500
41.000000  40.500000  -121.750000  -122.187500     Page 47     N41 00.000  N40 30.000  W121 45.000  W122 11.250
41.000000  40.500000  -121.312500  -121.750000     Page 48     N41 00.000  N40 30.000  W121 18.750  W121 45.000
41.000000  40.500000  -120.875000  -121.312500     Page 49     N41 00.000  N40 30.000  W120 52.500  W121 18.750
41.000000  40.500000  -120.437500  -120.875000     Page 50     N41 00.000  N40 30.000  W120 26.250  W120 52.500
41.000000  40.500000  -120.000000  -120.437500     Page 51     N41 00.000  N40 30.000  W120 00.000  W120 26.250
40.500000  40.000000  -123.956389  -124.416667     Page 52     N40 30.000  N40 00.000  W123 57.383  W124 25.000
40.500000  40.000000  -123.500000  -123.956389     Page 53     N40 30.000  N40 00.000  W123 30.000  W123 57.383
40.500000  40.000000  -123.062500  -123.500000     Page 54     N40 30.000  N40 00.000  W123 03.750  W123 30.000
40.500000  40.000000  -122.625000  -123.062500     Page 55     N40 30.000  N40 00.000  W122 37.500  W123 03.750
40.500000  40.000000  -122.187500  -122.625000     Page 56     N40 30.000  N40 00.000  W122 11.250  W122 37.500
40.500000  40.000000  -121.750000  -122.187500     Page 57     N40 30.000  N40 00.000  W121 45.000  W122 11.250
40.500000  40.000000  -121.312500  -121.750000     Page 58     N40 30.000  N40 00.000  W121 18.750  W121 45.000
40.500000  40.000000  -120.875000  -121.312500     Page 59     N40 30.000  N40 00.000  W120 52.500  W121 18.750
40.500000  40.000000  -120.437500  -120.875000     Page 60     N40 30.000  N40 00.000  W120 26.250  W120 52.500
40.500000  40.000000  -119.995278  -120.437500     Page 61     N40 30.000  N40 00.000  W119 59.717  W120 26.250
40.000000  39.500000  -123.937500  -124.375000     Page 62     N40 00.000  N39 30.000  W123 56.250  W124 22.500
40.000000  39.500000  -123.500000  -123.937500     Page 63     N40 00.000  N39 30.000  W123 30.000  W123 56.250
40.000000  39.500000  -123.062500  -123.500000     Page 64     N40 00.000  N39 30.000  W123 03.750  W123 30.000
40.000000  39.500000  -122.625000  -123.062500     Page 65     N40 00.000  N39 30.000  W122 37.500  W123 03.750
40.000000  39.500000  -122.187500  -122.625000     Page 66     N40 00.000  N39 30.000  W122 11.250  W122 37.500
40.000000  39.500000  -121.750000  -122.187500     Page 67     N40 00.000  N39 30.000  W121 45.000  W122 11.250
40.000000  39.500000  -121.312500  -121.750000     Page 68     N40 00.000  N39 30.000  W121 18.750  W121 45.000
40.000000  39.500000  -120.875000  -121.312500     Page 69     N40 00.000  N39 30.000  W120 52.500  W121 18.750
40.000000  39.500000  -120.437500  -120.875000     Page 70     N40 00.000  N39 30.000  W120 26.250  W120 52.500
40.000000  39.500000  -119.996667  -120.437500     Page 71     N40 00.000  N39 30.000  W119 59.800  W120 26.250
39.000000  38.708889  -123.500000  -123.770000     Page 72     N39 00.000  N38 42.533  W123 30.000  W123 46.200
39.500000  39.000000  -123.500000  -123.937500     Page 73     N39 30.000  N39 00.000  W123 30.000  W123 56.250
39.500000  39.000000  -123.062500  -123.500000     Page 74     N39 30.000  N39 00.000  W123 03.750  W123 30.000
39.500000  39.000000  -122.625000  -123.062500     Page 75     N39 30.000  N39 00.000  W122 37.500  W123 03.750
39.500000  39.000000  -122.187500  -122.625000     Page 76     N39 30.000  N39 00.000  W122 11.250  W122 37.500
39.500000  39.000000  -121.750000  -122.187500     Page 77     N39 30.000  N39 00.000  W121 45.000  W122 11.250
39.500000  39.000000  -121.312500  -121.750000     Page 78     N39 30.000  N39 00.000  W121 18.750  W121 45.000
39.500000  39.000000  -120.875000  -121.312500     Page 79     N39 30.000  N39 00.000  W120 52.500  W121 18.750
39.500000  39.000000  -120.437500  -120.875000     Page 80     N39 30.000  N39 00.000  W120 26.250  W120 52.500
39.500000  39.000000  -120.000000  -120.437500     Page 81     N39 30.000  N39 00.000  W120 00.000  W120 26.250
39.000000  38.500000  -123.062500  -123.500000     Page 82     N39 00.000  N38 30.000  W123 03.750  W123 30.000
39.000000  38.500000  -122.625000  -123.062500     Page 83     N39 00.000  N38 30.000  W122 37.500  W123 03.750
39.000000  38.500000  -122.187500  -122.625000     Page 84     N39 00.000  N38 30.000  W122 11.250  W122 37.500
39.000000  38.500000  -121.750000  -122.187500     Page 85     N39 00.000  N38 30.000  W121 45.000  W122 11.250
39.000000  38.500000  -121.312500  -121.750000     Page 86     N39 00.000  N38 30.000  W121 18.750  W121 45.000
39.000000  38.500000  -120.875000  -121.312500     Page 87     N39 00.000  N38 30.000  W120 52.500  W121 18.750
39.000000  38.500000  -120.437500  -120.875000     Page 88     N39 00.000  N38 30.000  W120 26.250  W120 52.500
39.000000  38.500000  -120.000000  -120.437500     Page 89     N39 00.000  N38 30.000  W120 00.000  W120 26.250
39.000000  38.500000  -119.562500  -120.000000     Page 90     N39 00.000  N38 30.000  W119 33.750  W120 00.000
39.000000  38.500000  -119.125000  -119.562500     Page 91     N39 00.000  N38 30.000  W119 07.500  W119 33.750
38.500000  38.000000  -123.062500  -123.500000     Page 92     N38 30.000  N38 00.000  W123 03.750  W123 30.000
38.500000  38.000000  -122.625000  -123.062500     Page 93     N38 30.000  N38 00.000  W122 37.500  W123 03.750
38.500000  38.000000  -122.187500  -122.625000     Page 94     N38 30.000  N38 00.000  W122 11.250  W122 37.500
38.500000  38.000000  -121.750000  -122.187500     Page 95     N38 30.000  N38 00.000  W121 45.000  W122 11.250
38.500000  38.000000  -121.312500  -121.750000     Page 96     N38 30.000  N38 00.000  W121 18.750  W121 45.000
38.500000  38.000000  -120.875000  -121.312500     Page 97     N38 30.000  N38 00.000  W120 52.500  W121 18.750
38.500000  38.000000  -120.437500  -120.875000     Page 98     N38 30.000  N38 00.000  W120 26.250  W120 52.500
38.500000  38.000000  -120.000000  -120.437500     Page 99     N38 30.000  N38 00.000  W120 00.000  W120 26.250
38.500000  38.000000  -119.562500  -120.000000     Page 100    N38 30.000  N38 00.000  W119 33.750  W120 00.000
